Korteriomandite (eluruumide) tehingud,,,,,,,,,,,,
"Harju maakond, Anija vald / Harju maakond, Harku vald / Harju maakond, Jõelähtme vald / Harju maakond, Keila linn / Harju maakond, Kiili vald / Harju maakond, Kose vald / Harju maakond, Kuusalu vald / Harju maakond, Loksa linn / Harju maakond, Lääne-Harju vald / Harju maakond, Maardu linn / Harju maakond, Raasiku vald / Harju maakond, Rae vald / Harju maakond, Saku vald / Harju maakond, Saue vald / Harju maakond, Tallinn linn / Harju maakond, Viimsi vald / Harju maakond, Haabersti linnaosa / Harju maakond, Kesklinna linnaosa / Harju maakond, Kristiine linnaosa / Harju maakond, Lasnamäe linnaosa / Harju maakond, Mustamäe linnaosa / Harju maakond, Nõmme linnaosa / Harju maakond, Pirita linnaosa / Harju maakond, Põhja-Tallinna linnaosa 2024 aastal",,,,,,,,,,,,
10.05.2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Pindala(m2),Tehingu summa (eur),,,Pinnaühiku hind(eur /m2),,,,
,,Pindala(m2),Arv,Keskmine,Kokku,Minimaalne,Maksimaalne,Minimaalne,Maksimaalne,Mediaan,Keskmine,Standardhälve
,Lääne-Harju vald,"30-40,99",4,***,***,***,***,***,***,***,***,***
,,"41-54,99",6,47.40,"308,800","20,000","68,000",404.04,"1,443.74","1,161.93","1,090.54",374.72
,,"55-69,99",4,***,***,***,***,***,***,***,***,***
,,"70-249,99",1,***,***,***,***,***,***,***,***,***
,,KOKKU,15,48.40,"775,190","20,000","85,000",404.04,"1,443.74","1,152.48","1,076.68",299.80
,Maardu linn,"30-40,99",8,34.70,"406,000","30,000","65,000",767.26,"1,975.68","1,581.49","1,485.51",390.31
,,"41-54,99",2,***,***,***,***,***,***,***,***,***
,,"55-69,99",1,***,***,***,***,***,***,***,***,***
,,"70-249,99",1,***,***,***,***,***,***,***,***,***
,,KOKKU,12,46.20,"987,500","30,000","295,000",767.26,"2,460.38","1,636.03","1,661.07",456.67
,Mustamäe linnaosa,"10-29,99",15,24.60,"1,084,804","43,000","105,000","2,508.36","3,805.31","2,881.36","3,033.33",412.23
,,"30-40,99",9,34.40,"934,280","74,500","165,000","2,332.44","4,074.07","2,730.26","2,969.94",648.04
,,"41-54,99",52,44.70,"5,527,565","58,500","191,780","1,335.62","3,716.67","2,327.94","2,379.07",494.55
,,"55-69,99",20,61.60,"2,618,975","25,000","164,900",375.94,"2,721.12","2,182.69","2,136.73",519.03
,,"70-249,99",5,75.30,"1,097,900","179,000","289,000","2,473.26","3,753.25","2,780.13","2,905.44",511.36
,,KOKKU,101,45.60,"11,263,524","25,000","289,000",375.94,"4,074.07","2,505.80","2,506.96",590.32
,Nõmme linnaosa,"10-29,99",1,***,***,***,***,***,***,***,***,***
,,"30-40,99",7,32.50,"382,900","23,000","106,000",732.48,"3,045.98","1,753.85","1,643.07",938.37
